words,polarity,frequency
these,-0.078793978,5415
say,-0.130303977,5389
scene,-0.137473296,5320
why,-0.8844203,5314
while,0.162373303,5311
scenes,-0.108181251,5171
such,-0.053942256,5132
go,-0.083631455,5060
something,-0.357922701,5012
should,-0.431079521,4960
through,-0.135759336,4941
back,-0.011162746,4846
i'm,-0.441083089,4748
those,0.182362472,4696
watching,-0.423089123,4585
real,0.161068769,4571
though,0.230936646,4563
now,0.041454444,4564
doesn't,-0.307910459,4532
thing,-0.590136825,4520
years,0.456372473,4478
actors,-0.235963758,4451
director,-0.168637601,4377
another,-0.111234954,4326
didn't,-0.557162862,4315
before,-0.032217346,4311
nothing,-1.072478735,4282
new,0.305076175,4259
funny,-0.21398595,4246
actually,-0.479987859,4240
work,0.128672405,4237
makes,0.333178006,4193
find,0.125223994,4127
look,-0.204157137,4098
old,-0.048728371,4080
few,-0.084436637,4072
going,-0.302774643,4038
same,-0.067888554,4034
again,0.162011293,3983
lot,0.206324261,3974
part,0.056323441,3970
every,0.087875565,3968
cast,0.425998225,3782
us,0.310690878,3778
world,0.567109695,3735
quite,0.287856721,3726
want,-0.378199657,3698
things,0.023936635,3685
pretty,-0.302213433,3654
young,0.598386011,3646
seems,-0.295460071,3618
around,-0.224191863,3591
got,-0.337572021,3586
down,-0.149145314,3558
however,0.057091437,3537
can't,-0.432887097,3528
fact,-0.237677658,3507
horror,-0.147871586,3484
take,-0.037815746,3475
enough,-0.332774608,3446
both,0.645304815,3404
may,0.366608251,3375
give,-0.192990785,3374
original,-0.234207094,3369
between,0.336327678,3368
big,-0.117726061,3351
own,0.55586063,3344
i've,-0.043245864,3343
thought,-0.101878932,3323
series,0.274509294,3312
without,0.053886997,3260
right,0.047120962,3252
times,0.323123664,3229
long,-0.094439974,3224
always,0.645579085,3223
gets,-0.09251993,3201
action,0.244467962,3183
comedy,0.145944737,3179
isn't,-0.274881358,3175
family,0.626091249,3169
come,-0.066941838,3169
point,-0.478859845,3165
role,0.624830438,3161
saw,0.167887947,3156
interesting,-0.216858825,3120
almost,-0.044992208,3122
least,-0.753470094,3106
whole,-0.393451603,3067
must,0.19053523,3062
bit,0.325319233,3036
music,0.466153334,3029
script,-0.895373532,3008
done,0.080349263,3005
guy,-0.607944987,2982
anything,-0.656400166,2944
minutes,-1.186350082,2938
last,0.116133133,2919
since,0.099030665,2906
might,-0.318086845,2895
performance,0.850580207,2894
far,-0.182654078,2882
feel,0.252744998,2879
probably,-0.058112997,2841
am,-0.230730563,2772
woman,0.052080162,2764
kind,-0.181056174,2758
girl,-0.21468639,2754
away,-0.007911284,2753
yet,0.326789895,2739
rather,-0.145367625,2733
worst,-2.554984089,2717
sure,-0.114375454,2675
fun,0.493012265,2652
anyone,-0.213229826,2632
making,-0.321089879,2611
each,0.598355213,2577
played,0.550027795,2574
tv,-0.120282996,2571
found,-0.000144238,2566
having,-0.120653915,2544
day,0.2641582,2538
although,0.448859033,2536
especially,0.579310976,2533
our,0.437885456,2510
course,0.204092747,2503
believe,-0.380081816,2493
comes,0.124745764,2483
trying,-0.532136247,2469
goes,-0.118637158,2437
hard,-0.125757,2413
looks,-0.609134474,2412
different,0.639064281,2384
place,0.003044278,2384
book,-0.23500128,2368
actor,0.114703182,2362
put,-0.243762546,2348
maybe,-0.587877551,2341
money,-1.348909464,2338
someone,-0.638879268,2336
ending,0.002609665,2326
reason,-0.756617016,2322
let,-0.522135325,2316
everything,0.083445817,2315
wasn't,-0.538989327,2307
sense,-0.346643158,2307
once,0.204572333,2304
shows,0.721476099,2299
screen,0.156712696,2292
dvd,0.448697504,2292
TRUE,0.671436765,2286
set,0.145750212,2276
worth,0.135583393,2266
job,0.755460708,2262
main,-0.124691201,2259
looking,-0.29038592,2260
watched,-0.01726773,2226
everyone,0.277920571,2220
together,0.292389196,2220
three,0.084536017,2212
plays,0.591042417,2210
john,0.478541432,2203
later,0.260003441,2195
said,-0.133278597,2194
play,0.28267374,2190
instead,-0.928430851,2190
audience,-0.202995741,2187
seem,-0.196351293,2175
beautiful,1.186621571,2171
takes,0.366459541,2167
effects,-0.324797411,2167
himself,0.344933692,2158
version,0.143395757,2145
during,0.129313941,2131
left,-0.365393717,2096
night,0.099644325,2092
house,-0.190484679,2090
seeing,0.121981718,2088
wife,0.291173434,2077
special,-0.129224683,2071
excellent,1.709195387,2069
father,0.556643034,2056
american,0.17076698,2052
idea,-0.717913904,2039
else,-0.542059244,2000
nice,0.093984658,1996
shot,-0.215187058,1993
simply,-0.238371786,1966
year,0.29731779,1965
read,-0.282090043,1937
you're,-0.310772449,1933
black,-0.020558964,1932
high,-0.138318924,1920
less,-0.26957336,1908
war,0.722421101,1906
star,0.073014446,1898
completely,-0.674607348,1889
help,0.087169495,1890
fan,0.090531056,1886
poor,-1.510524887,1885
death,0.14833811,1881
second,0.075070007,1879
men,0.379419504,1863
hollywood,-0.199985225,1863
either,-0.560929453,1861
mind,0.218483358,1851
used,-0.089147527,1848
given,-0.192984143,1846
home,0.225031586,1836
kids,-0.232159488,1830
try,-0.431648396,1824
performances,0.944947819,1822
women,-0.153998182,1813
enjoy,0.486915195,1811
classic,0.851050275,1810
boring,-1.788379306,1808
short,0.033898211,1806
wrong,-0.577965658,1806
need,-0.240204616,1801
rest,-0.412355135,1801
use,-0.116423386,1792
friends,0.194192257,1783
until,0.151043099,1778
along,0.32488012,1770
dead,-0.262082162,1764
truly,0.625655969,1743
half,-0.709115583,1738
production,-0.291961201,1733
line,-0.273755565,1732
tell,-0.316234378,1710
couple,-0.153725779,1705
remember,0.201355837,1702
next,-0.125822658,1697
start,-0.279249277,1689
stupid,-1.922713414,1684
perhaps,0.007219067,1684
came,-0.01922225,1673
recommend,0.67670059,1668
moments,0.254554986,1661
awful,-2.501552185,1659
wonderful,1.760769025,1653
episode,0.389178399,1651
mean,-0.684693326,1649
understand,-0.101248615,1644
terrible,-2.1807787,1637
full,0.147680359,1636
camera,-0.338191734,1626
getting,-0.24703407,1619
stars,-0.015375688,1615
playing,0.150846562,1610
video,-0.596498177,1605
keep,0.140539195,1600
sex,-0.502907011,1600
doing,-0.390515593,1593
others,0.420030656,1595
early,0.293677019,1587
often,0.491585641,1586
small,0.440074779,1581
definitely,0.950622017,1580
gives,0.834844782,1576
person,-0.02298453,1573
school,-0.0667101,1568
face,0.010190416,1566
perfect,1.707974575,1564
name,-0.319771099,1560
itself,-0.068729903,1559
become,0.477809226,1543
human,0.597621754,1541
lines,-0.458245582,1536
yes,-0.167211091,1535
finally,0.193302961,1536
dialogue,-0.62917649,1532
lost,-0.139406719,1526
felt,-0.247338937,1522
case,-0.188421704,1522
piece,-0.593460561,1516
top,0.371001902,1513
liked,0.48216148,1510
supposed,-1.406009846,1510
children,0.266801359,1505
couldn't,-0.929506088,1492
title,-0.123199045,1488
absolutely,-0.31248451,1485
head,-0.28265371,1483
budget,-0.617260582,1481
mother,0.430155147,1481
live,0.420454036,1479
written,-0.206559171,1478
boy,0.044983943,1477
picture,0.378826798,1470
against,0.202115312,1469
cinema,0.353296097,1466
went,-0.309520543,1463
worse,-1.850248775,1463
certainly,0.267878672,1463
entire,-0.499408494,1461
sort,-0.413097593,1460
style,0.360854967,1456
waste,-2.763449384,1454
problem,-0.56377008,1450
mr,0.089200892,1446
hope,0.297546634,1445
entertaining,0.356251725,1437
overall,0.328606887,1435
friend,0.193120996,1431
killer,-0.365114483,1427
evil,-0.076310077,1428
several,0.190506425,1418
loved,1.40568694,1413
fans,0.305267064,1410
oh,-1.230128178,1403
beginning,0.076242282,1401
white,0.032152378,1391
lives,0.820908612,1388
care,-0.701769707,1378
becomes,0.282137522,1378
direction,0.060921713,1379
example,-0.324221119,1373
already,-0.265457514,1372
based,0.143025768,1367
drama,0.530173416,1366
despite,0.229205986,1365
seemed,-0.630416882,1363
dark,0.545901826,1362
throughout,0.361193875,1361
unfortunately,-0.873144425,1353
wanted,-0.553555517,1350
i'd,-0.338440665,1345
final,0.199751301,1324
history,0.384186802,1322
amazing,1.723226508,1320
turn,-0.137031534,1319
fine,0.396226761,1317
laugh,-0.330927888,1316
michael,0.299295001,1316
son,0.322024661,1308
humor,0.318071545,1308
guess,-0.860956633,1306
totally,-0.540260665,1305
lead,-0.058666518,1302
sound,-0.050959239,1298
guys,-0.463308715,1297
writing,-0.485402521,1292
you'll,0.257805294,1290
wants,0.134126127,1288
low,-0.701228253,1281
works,0.782710719,1277
tries,-0.555246825,1274
called,-0.225189397,1268
under,0.060590083,1263
past,0.305279284,1262
viewer,0.232806182,1261
quality,-0.15328314,1260
child,0.151080131,1257
days,0.276066089,1257
behind,0.053809602,1254
game,0.085207255,1254
turns,0.131329518,1250
they're,-0.502983149,1248
enjoyed,0.87800329,1246
today,1.02963907,1245
able,0.223006399,1243
act,-0.459384505,1232
town,0.369038689,1231
favorite,1.5178484,1227
kill,-0.516498382,1224
flick,-0.35190315,1222
starts,-0.122952114,1220
gave,-0.172525143,1217
actress,0.135399064,1216
sometimes,0.543136648,1216
eyes,0.320850418,1211
etc,-0.33404937,1209
side,0.326900869,1201
horrible,-2.145717859,1200
girls,-0.275800609,1200
genre,0.337766393,1198
soon,0.379980072,1198
won't,0.1164308,1197
car,-0.331665112,1196
brilliant,1.590077446,1191
parts,0.05758181,1189
art,0.324447373,1189
heart,1.055975812,1188
themselves,-0.038431042,1183
expect,-0.003369738,1178
kid,-0.407760072,1176
stuff,-0.267620371,1168
stories,0.432637728,1168
thinking,-0.567700947,1163
city,0.489226158,1163
obviously,-0.562260059,1162
directed,0.187477084,1158
late,0.324222054,1146
myself,-0.362617948,1146
blood,-0.192841132,1145
decent,-0.813328436,1141
feeling,0.230124146,1139
run,-0.183898535,1137
s,-0.080716837,1136
highly,1.205490707,1133
god,-0.579364753,1129
except,-0.69574931,1129
close,0.158643895,1127
fight,0.033305237,1127
hand,0.028427825,1122
anyway,-0.295418018,1117
roles,0.692460119,1112
daughter,0.176168444,1110
killed,-0.577115787,1108
moment,0.211129464,1108
says,-0.047564061,1109
heard,0.029324253,1106
leave,-0.095779133,1104
matter,0.077347481,1103
took,-0.109194448,1099
cannot,-0.283064687,1097
police,0.028172268,1087
happens,-0.376881019,1080
brother,0.360936871,1079
hour,-0.957911925,1076
violence,0.223849919,1076
happened,-0.433021338,1075
strong,0.895024518,1073
particularly,0.254020242,1073
james,0.523707647,1067
extremely,0.043608058,1067
involved,-0.120154654,1067
chance,0.320381118,1064
writer,-0.315713352,1059
obvious,-0.586582444,1058
experience,0.743600258,1056
wouldn't,-0.584482506,1054
lack,-0.739237926,1053
including,0.367511877,1052
told,0.132904801,1050
alone,-0.034824508,1049
attempt,-1.097942123,1049
murder,0.238434898,1047
living,0.486933868,1045
happen,-0.20977011,1042
please,-1.12708505,1043
age,0.463383287,1036
wonder,-0.46783732,1035
complete,-0.811703931,1031
ago,0.311409048,1030
voice,0.264056103,1028
group,-0.005558169,1028
score,0.628245096,1026
david,0.486151714,1024
coming,0.077559467,1022
interest,-0.2950885,1018
save,-1.208165811,1016
none,-0.894988327,1016
ok,-0.929011679,1013
crap,-2.314457871,1011
type,0.021367795,1008
looked,-0.766796611,1007
simple,0.699304883,1006
slow,-0.370840731,1001
possible,-0.2653848,1000
number,0.107871704,1000
seriously,-0.841912588,998
hell,-0.644038013,998
gore,-0.362499022,997
exactly,-0.063245051,995
shown,0.165396694,994
king,0.277583164,993
hero,-0.009150722,993
annoying,-1.372202097,992
song,0.494998358,991
husband,0.296307486,989
sad,-0.251218606,988
whose,0.265135842,986
career,0.19772448,986
yourself,-0.195447924,987
cinematography,0.611919592,984
taken,0.070360988,984
musical,0.573582437,979
ends,-0.165994368,978
usually,-0.161984008,979
serious,-0.023564536,978
i'll,-0.467416958,977
stop,-0.243524094,974
hours,-0.775216249,974
scary,-0.57381566,974
released,0.44007576,969
across,-0.022974424,968
hilarious,0.993189583,968
running,-0.379354157,968
reality,0.431909386,966
relationship,0.658154823,964
usual,0.336600661,962
ridiculous,-1.718885138,962
known,0.320451919,962
hit,0.015015681,960
opening,0.077612653,960
somewhat,0.238812558,960
started,-0.468640836,957
opinion,0.365132746,957
jokes,-0.76552336,956
novel,0.234062776,955
cool,-0.088015689,953
change,0.377861625,951
robert,0.610907957,950
wish,-0.107811353,950
ones,0.093816779,949
body,-0.081572312,948
finds,0.572784513,948
order,0.110562468,947
saying,-0.47810338,946
english,0.08152868,945
huge,-0.265597069,943
cut,-0.342787196,942
shots,-0.338071938,941
episodes,0.639357955,938
mostly,-0.054914974,938
taking,0.0631239,932
female,-0.29275392,931
talking,-0.359118835,925
strange,0.236301852,923
major,-0.027379864,923
view,0.447366429,922
power,0.571580157,921
happy,0.513608814,920
documentary,0.459708209,920
apparently,-1.113689234,917
rating,-0.424107852,917
disappointed,-0.563180745,917
level,-0.072703137,916
talent,-0.474480842,915
call,-0.450939629,914
country,0.420160382,910
jack,0.585105618,909
due,0.196177592,909
events,0.32495185,908
room,-0.125511932,907
important,0.578527179,907
songs,0.456682414,905
basically,-0.610983643,905
clearly,-0.237573959,899
knows,0.210967401,899
knew,-0.016630942,898
supporting,0.972938491,897
attention,0.474641908,893
television,0.368793886,891
future,0.458327457,890
turned,-0.33464068,889
paul,0.495366527,889
easily,0.307179057,889
problems,-0.017074212,886
aren't,-0.28309256,885
silly,-0.746965943,886
british,0.328060646,888
word,-0.276185195,883
tells,0.643878676,881
earth,-0.423647245,881
words,0.008235598,878
local,0.068742527,876
single,-0.459474815,876
light,0.347926569,871
four,0.071443448,870
cheap,-1.413631758,870
sequence,0.06052521,870
bring,0.277439014,869
entertainment,0.062744377,869
thriller,0.265928977,862
beyond,-0.419015422,860
george,0.291430062,860
miss,0.507694309,859
modern,0.54257383,858
whether,0.284708343,856
b,-0.340282434,855
predictable,-1.156098853,853
falls,-0.291716555,851
five,-0.336787096,851
sets,0.297999996,850
similar,0.312882096,848
review,-0.44780117,849
richard,0.5068967,847
needs,-0.17403601,841
upon,0.280107491,841
lady,0.042808217,840
enjoyable,0.737669651,840
appears,-0.247816347,839
romantic,0.55931516,839
comic,0.240018899,838
giving,-0.004044267,835
mystery,0.097106823,829
talk,-0.354690363,828
rock,0.090709231,826
message,0.163141919,822
animation,0.656323627,821
within,0.241598798,821
theater,-0.268681613,821
sequel,-0.293129106,814
bunch,-1.087022213,813
mention,-0.343693928,811
herself,0.2749014,811
feels,0.079670677,810
nearly,-0.094024684,809
points,-0.170656656,809
theme,0.462026294,808
lee,0.356098273,805
above,0.161145635,804
dull,-1.513400936,807
add,-0.247781813,805
york,0.46156621,804
ways,0.492137947,803
moving,0.87270695,803
storyline,-0.250576765,802
ten,-0.262683906,802
surprised,0.613510051,801
haven't,0.38577261,800
lots,-0.031753139,797
team,0.213908737,797
begins,0.658573031,796
middle,-0.205560264,796
using,-0.177037425,796
fantastic,1.620756492,796
actual,-0.388910942,793
sister,0.268000275,792
effort,-0.562628993,789
viewers,0.221138601,785
named,0.382804801,785
among,0.556848273,782
elements,0.27675874,780
easy,0.508823393,779
stay,-0.526938725,778
tom,0.323808662,780
comments,0.012252271,777
avoid,-1.91384963,776
showing,0.164433307,775
typical,0.098488464,775
release,0.483728204,774
clear,-0.079341172,774
hate,-0.303866767,774
tried,-1.034737295,770
peter,0.561625911,770
sorry,-1.369951118,767
french,0.279527578,767
dialog,-0.75073665,766
editing,-0.449971425,766
tale,0.794858248,766
certain,0.327473532,765
season,1.179346118,763
soundtrack,0.617625921,763
buy,0.042872066,762
fall,-0.038737738,762
general,0.097604543,762
near,-0.067920026,760
means,0.074890832,760
famous,0.56203534,760
check,0.032433261,760
parents,0.298155029,757
red,0.080885191,757
somehow,-0.494121082,757
material,-0.345397513,757
oscar,1.13129489,757
period,0.466804967,756
form,0.363124609,756
straight,-0.318621116,753
weak,-0.948936228,752
working,0.255566869,753
doubt,0.116061951,752
class,0.236263865,751
leads,0.311509443,750
filmed,0.098843315,750
gone,-0.232487237,748
kept,-0.278144138,747
greatest,1.454272552,745
figure,-0.207409998,744
viewing,0.630000517,742
feature,0.018253487,741
disney,0.441965535,740
eye,0.203299902,741
realistic,0.874269229,739
brought,0.635282239,737
imagine,-0.323322816,735
hear,-0.104212341,734
atmosphere,0.678719823,732
fast,-0.114148195,731
particular,0.340154507,730
suspense,0.020238045,728
lame,-2.017979734,726
move,-0.075992343,725
whatever,-0.628040152,725
sequences,0.091490574,723
america,0.247032702,724
follow,0.069020225,723
indeed,0.297496699,722
die,-0.350850426,721
crime,0.547230865,720
learn,0.152009048,719
eventually,0.297183245,719
reviews,-0.384040874,718
wait,-0.287001667,717
forget,0.304409045,716
deal,0.292586528,715
zombie,-0.684850356,715
dance,0.275705952,714
space,-0.372968095,713
okay,-0.86750844,712
premise,-0.848454556,711
surprise,0.306010567,711
believable,0.435346859,708
nature,0.719440359,707
possibly,-0.40963272,707
you've,-0.258506174,706
third,-0.005296545,704
decided,-0.675947047,705
subject,0.236660963,703
expected,-0.207555519,702
de,0.640704005,700
japanese,0.187065,699
dr,0.249520535,700
became,0.208986138,697
truth,0.395638159,697
imdb,-0.826447549,696
sexual,0.065117207,695
average,-0.290645842,695
stand,0.043022994,695
difficult,0.36900888,694
screenplay,-0.009547432,694
romance,0.579188613,693
t,-0.351060518,693
sit,-0.709241604,690
poorly,-2.15880471,689
rent,-0.917573169,688
joe,0.497746474,688
nor,-0.586220489,685
leaves,0.189365925,683
question,0.073410173,682
stage,0.451299695,682
note,0.141384832,679
begin,-0.411804526,678
killing,-0.435031343,677
needed,-0.282108225,676
reading,-0.183822744,676
unless,-1.373099583,674
baby,-0.016602663,672
superb,2.181915838,671
directors,-0.065121991,670
society,0.736895718,670
otherwise,-0.591671754,671
shame,-0.595524124,669
meet,0.291611727,668
street,0.086943356,667
situation,0.508354021,667
meets,0.453762116,665
memorable,0.932784434,665
dog,-0.338587439,664
credits,-0.29146837,663
earlier,0.125524112,661
forced,-0.484476462,660
weird,-0.296987163,660
minute,-0.565171462,656
older,0.467079482,655
laughs,-0.183732308,654
realize,0.10859554,654
emotional,0.89256155,654
jane,0.370254295,654
beauty,1.177538844,653
writers,-0.945721147,651
comment,-0.243036391,651
footage,-0.452445073,650
write,-0.843641379,649
ask,-0.347384018,647
badly,-1.733769703,646
interested,0.055584923,647
dramatic,0.302725496,645
sounds,-0.408512781,644
whom,0.285192247,645
hot,-0.150500054,643
keeps,0.769284415,642
features,0.226307749,642
directing,-0.127510357,641
mess,-1.930699519,640
development,-0.494700947,639
crazy,0.136352342,639
quickly,-0.260403601,636
male,-0.171637699,636
mark,0.018961769,635
towards,0.2208855,636
creepy,0.123606181,634
free,-0.354597199,634
monster,-0.433426069,632
perfectly,1.557725153,632
result,-0.219547889,631
total,-1.106119658,631
plus,0.006735006,632
previous,0.058333351,630
brings,1.074150939,630
unique,1.40806505,630
plenty,0.396821911,629
worked,-0.007465433,629
cheesy,-0.800981978,628
effect,0.090445115,627
personal,0.917456347,626
incredibly,-0.405894711,626
hands,0.017275386,625
bill,0.364799688,624
fantasy,0.270842415,624
return,0.427661355,624
dream,0.649539204,622
apart,-0.201999287,621
deep,0.442177972,621
setting,0.380837494,621
admit,-0.002550582,620
open,0.203841168,616
appear,-0.426436841,616
background,0.111278913,616
christmas,0.456562681,615
leading,0.23275719,614
doctor,0.024058781,617
casting,0.090253024,615
hardly,-0.65730216,613
meant,-0.341390186,613
ben,0.121621114,612
potential,-0.801824324,612
boys,0.212946047,612
powerful,1.538280949,610
business,0.343371589,609
masterpiece,1.345843074,607
fails,-1.438777195,606
battle,0.246857758,604
joke,-1.445110743,604
create,0.051085795,604
various,0.226714242,604
forward,-0.222433961,601
fire,-0.272338156,601
inside,0.354259431,598
outside,0.099784284,598
portrayed,0.377546921,596
girlfriend,-0.110550653,595
ideas,-0.389643282,595
twist,-0.11097132,595
william,0.609553009,595
missing,-0.101256002,594
nudity,-0.694915708,594
reasons,-0.07105728,594
villain,-0.004275696,593
dumb,-1.535358129,594
political,0.336315556,592
deserves,0.857845869,591
match,0.451317176,589
secret,0.110290163,588
expecting,-0.228590537,587
air,-0.001936501,587
fairly,-0.068769652,586
present,0.378197084,586
gay,-0.317385643,585
fighting,0.028641704,585
unlike,0.751834877,585
married,0.383746593,584
manages,0.449289834,583
break,-0.208103958,583
scott,0.428825571,582
success,0.423315004,582
attempts,-0.746940655,583
western,0.708351029,582
spoilers,-0.321410287,581
acted,0.094730834,579
remake,-0.582237102,580
pay,-0.477439687,579
box,-0.291681762,577
recently,0.585104611,577
rich,0.335317286,576
front,-0.205262447,576
cute,-0.100739904,575
further,-0.01414655,575
cop,-0.115358235,574
sadly,-0.855722028,574
era,0.814779038,572
copy,-0.000340251,572
agree,0.069027427,572
talented,0.010087239,572
telling,0.069687443,570
sci-fi,-0.015945955,569
filmmakers,-0.63408141,565
following,0.183025092,564
public,-0.062089133,563
crew,0.058335629,562
incredible,1.489492844,562
missed,0.061310353,562
wasted,-2.084665923,560
pure,0.411262942,560
plain,-1.307322251,560
brothers,0.454015503,554
odd,0.031584368,553
caught,0.476927282,552
flat,-1.248997843,552
social,0.577752065,550
mentioned,-0.140624356,549
pace,0.481365319,547
ended,-0.394770926,546
decides,0.084781109,546
considering,-0.207033689,545
waiting,-0.433152869,545
members,0.212452898,544
mary,0.360896445,544
large,0.007445031,545
list,-0.097162408,543
sweet,0.889955601,542
revenge,0.172936512,541
popular,0.251278633,540
uses,0.428368912,539
hold,0.04707653,538
slightly,0.205260949,538
office,0.138970539,538
compared,-0.032683791,538
neither,-0.789137456,537
wrote,-0.303286666,538
escape,0.196491979,536
sees,0.57140885,536
suddenly,-0.464573285,536
e,-0.0424835,535
party,-0.033652293,535
spirit,0.558918859,535
tension,0.171442558,535
convincing,0.315994419,534
created,0.489365029,533
fear,0.579582041,534
spent,-1.123042649,532
rate,-0.055689703,532
cause,-0.214232626,531
entirely,-0.183145594,531
island,-0.211829097,531
cartoon,-0.073748793,530
intelligent,0.388669993,529
credit,0.019278026,527
clever,0.156777225,527
we're,-0.543832631,527
choice,0.270826077,527
water,-0.448648436,527
kills,-0.679886766,527
bored,-1.096163415,526
familiar,0.517458064,526
moves,0.397469631,525
tony,0.816981573,523
laughing,-0.245421404,524
gun,-0.402567317,523
visual,0.489301848,522
successful,0.285354902,521
ultimately,0.120454988,520
basic,-0.366174019,520
band,0.356766373,519
trouble,-0.177483343,518
la,0.267576121,517
cat,-0.194541427,518
zombies,-0.9489522,517
concept,-0.491080964,515
value,-0.70433395,515
biggest,-0.488095037,514
positive,-0.85523103,514
singing,0.287725841,513
consider,-0.073964038,513
exciting,0.30318146,513
dancing,0.164420132,512
company,0.205668822,511
died,-0.107332767,512
recent,0.390091181,511
state,0.236495397,510
language,0.427224906,509
effective,0.767040964,509
science,-0.263804153,510
cover,-0.812439369,508
spend,-0.820588212,508
portrayal,0.938800893,508
violent,0.496308353,508
cold,0.251145619,507
appreciate,0.793574493,507
produced,-0.062159063,506
speak,-0.267803012,506
pointless,-2.037685368,505
former,0.341202822,505
studio,-0.226318015,505
amusing,-0.295089867,505
adult,0.398953256,503
common,0.092423751,503
filled,0.233777962,503
planet,-0.288143882,501
younger,0.478600749,501
books,-0.116986129,500
store,-0.249559362,499
walk,-0.563923997,499
follows,0.532041328,499
focus,0.17369543,498
solid,0.888442131,498
bizarre,-0.01436607,498
italian,0.192976519,496
impressive,0.585951228,495
animated,0.645754709,495
impossible,-0.245659805,494
german,0.414259405,494
amount,-0.053988527,493
tone,0.511480186,492
century,0.400628497,491
adventure,0.80610245,490
conclusion,-5.09E-05,490
producers,-1.135069128,490
weren't,-0.683984772,490
showed,0.234916921,489
recommended,1.286273968,489
fit,0.03885842,488
van,-0.253836137,488
depth,0.1044967,487
runs,-0.055576765,486
situations,0.290346095,486
chemistry,0.458545931,486
prison,0.548805199,486
project,-0.558428623,486
jim,0.438663373,485
respect,0.053040155,485
awesome,1.675264841,484
control,0.301747158,484
accent,-0.576998171,484
hair,-0.51454449,483
considered,0.089928904,483
win,0.588365327,483
won,0.827250976,483
smith,0.224950521,483
force,0.191588572,483
decide,-0.304827864,482
college,-0.200126342,482
trip,0.231138187,482
disturbing,0.446139877,482
somewhere,-0.563438752,482
mad,-0.233180703,482
failed,-1.124583798,481
dad,-0.052168075,481
changed,0.211336078,481
leaving,-0.129099768,480
questions,0.340048334,479
longer,0.073676559,476
steve,0.131531109,476
audiences,0.280158252,476
barely,-1.02269415,476
aside,-0.172130347,474
honest,0.151821918,474
slasher,-0.467011945,474
sick,-0.775090729,474
ghost,-0.16823342,473
shooting,-0.487778647,473
trash,-1.961263272,471
images,0.530086858,471
thanks,0.567181852,470
charming,1.041356801,470
starring,0.153473052,469
generally,-0.26549859,468
pathetic,-2.2615928,468
