words,polarity
still,0.415343294
end,-0.140286205
over,-0.110242338
off,-0.407005305
these,-0.078793978
say,-0.130303977
scene,-0.137473296
why,-0.8844203
while,0.162373303
scenes,-0.108181251
such,-0.053942256
go,-0.083631455
something,-0.357922701
should,-0.431079521
through,-0.135759336
back,-0.011162746
i'm,-0.441083089
those,0.182362472
watching,-0.423089123
real,0.161068769
though,0.230936646
now,0.041454444
doesn't,-0.307910459
thing,-0.590136825
years,0.456372473
actors,-0.235963758
director,-0.168637601
another,-0.111234954
didn't,-0.557162862
before,-0.032217346
nothing,-1.072478735
new,0.305076175
funny,-0.21398595
actually,-0.479987859
work,0.128672405
makes,0.333178006
find,0.125223994
look,-0.204157137
old,-0.048728371
few,-0.084436637
going,-0.302774643
same,-0.067888554
again,0.162011293
lot,0.206324261
part,0.056323441
every,0.087875565
cast,0.425998225
us,0.310690878
world,0.567109695
quite,0.287856721
want,-0.378199657
things,0.023936635
pretty,-0.302213433
young,0.598386011
seems,-0.295460071
around,-0.224191863
got,-0.337572021
down,-0.149145314
however,0.057091437
can't,-0.432887097
fact,-0.237677658
horror,-0.147871586
take,-0.037815746
enough,-0.332774608
both,0.645304815
may,0.366608251
give,-0.192990785
original,-0.234207094
between,0.336327678
big,-0.117726061
own,0.55586063
i've,-0.043245864
thought,-0.101878932
series,0.274509294
without,0.053886997
right,0.047120962
times,0.323123664
long,-0.094439974
always,0.645579085
gets,-0.09251993
action,0.244467962
comedy,0.145944737
isn't,-0.274881358
family,0.626091249
come,-0.066941838
point,-0.478859845
role,0.624830438
saw,0.167887947
interesting,-0.216858825
almost,-0.044992208
least,-0.753470094
whole,-0.393451603
must,0.19053523
bit,0.325319233
music,0.466153334
script,-0.895373532
done,0.080349263
guy,-0.607944987
anything,-0.656400166
minutes,-1.186350082
last,0.116133133
since,0.099030665
might,-0.318086845
performance,0.850580207
far,-0.182654078
feel,0.252744998
probably,-0.058112997
am,-0.230730563
woman,0.052080162
kind,-0.181056174
girl,-0.21468639
away,-0.007911284
yet,0.326789895
rather,-0.145367625
worst,-2.554984089
sure,-0.114375454
fun,0.493012265
anyone,-0.213229826
making,-0.321089879
each,0.598355213
played,0.550027795
tv,-0.120282996
found,-0.000144238
having,-0.120653915
day,0.2641582
although,0.448859033
especially,0.579310976
our,0.437885456
course,0.204092747
believe,-0.380081816
comes,0.124745764
trying,-0.532136247
goes,-0.118637158
hard,-0.125757
looks,-0.609134474
different,0.639064281
place,0.003044278
book,-0.23500128
actor,0.114703182
put,-0.243762546
maybe,-0.587877551
money,-1.348909464
someone,-0.638879268
ending,0.002609665
reason,-0.756617016
let,-0.522135325
everything,0.083445817
wasn't,-0.538989327
sense,-0.346643158
once,0.204572333
shows,0.721476099
screen,0.156712696
dvd,0.448697504
TRUE,0.671436765
set,0.145750212
worth,0.135583393
job,0.755460708
main,-0.124691201
looking,-0.29038592
watched,-0.01726773
everyone,0.277920571
together,0.292389196
three,0.084536017
plays,0.591042417
john,0.478541432
later,0.260003441
said,-0.133278597
play,0.28267374
instead,-0.928430851
audience,-0.202995741
seem,-0.196351293
beautiful,1.186621571
takes,0.366459541
effects,-0.324797411
himself,0.344933692
version,0.143395757
during,0.129313941
left,-0.365393717
night,0.099644325
house,-0.190484679
seeing,0.121981718
wife,0.291173434
special,-0.129224683
excellent,1.709195387
father,0.556643034
american,0.17076698
idea,-0.717913904
else,-0.542059244
nice,0.093984658
shot,-0.215187058
simply,-0.238371786
year,0.29731779
read,-0.282090043
you're,-0.310772449
black,-0.020558964
high,-0.138318924
less,-0.26957336
war,0.722421101
star,0.073014446
completely,-0.674607348
help,0.087169495
fan,0.090531056
poor,-1.510524887
death,0.14833811
second,0.075070007
men,0.379419504
hollywood,-0.199985225
either,-0.560929453
mind,0.218483358
used,-0.089147527
given,-0.192984143
home,0.225031586
kids,-0.232159488
try,-0.431648396
performances,0.944947819
women,-0.153998182
enjoy,0.486915195
classic,0.851050275
boring,-1.788379306
short,0.033898211
wrong,-0.577965658
need,-0.240204616
rest,-0.412355135
use,-0.116423386
friends,0.194192257
until,0.151043099
along,0.32488012
dead,-0.262082162
truly,0.625655969
half,-0.709115583
production,-0.291961201
line,-0.273755565
tell,-0.316234378
couple,-0.153725779
remember,0.201355837
next,-0.125822658
start,-0.279249277
stupid,-1.922713414
perhaps,0.007219067
came,-0.01922225
recommend,0.67670059
moments,0.254554986
awful,-2.501552185
wonderful,1.760769025
episode,0.389178399
mean,-0.684693326
understand,-0.101248615
terrible,-2.1807787
full,0.147680359
camera,-0.338191734
getting,-0.24703407
stars,-0.015375688
playing,0.150846562
video,-0.596498177
keep,0.140539195
sex,-0.502907011
doing,-0.390515593
others,0.420030656
early,0.293677019
often,0.491585641
small,0.440074779
definitely,0.950622017
gives,0.834844782
person,-0.02298453
school,-0.0667101
face,0.010190416
perfect,1.707974575
name,-0.319771099
itself,-0.068729903
become,0.477809226
human,0.597621754
lines,-0.458245582
yes,-0.167211091
finally,0.193302961
dialogue,-0.62917649
lost,-0.139406719
felt,-0.247338937
case,-0.188421704
piece,-0.593460561
top,0.371001902
liked,0.48216148
supposed,-1.406009846
children,0.266801359
couldn't,-0.929506088
title,-0.123199045
absolutely,-0.31248451
head,-0.28265371
budget,-0.617260582
mother,0.430155147
live,0.420454036
written,-0.206559171
boy,0.044983943
picture,0.378826798
against,0.202115312
cinema,0.353296097
went,-0.309520543
worse,-1.850248775
certainly,0.267878672
entire,-0.499408494
sort,-0.413097593
style,0.360854967
waste,-2.763449384
problem,-0.56377008
mr,0.089200892
hope,0.297546634
entertaining,0.356251725
overall,0.328606887
friend,0.193120996
killer,-0.365114483
evil,-0.076310077
several,0.190506425
loved,1.40568694
fans,0.305267064
oh,-1.230128178
beginning,0.076242282
white,0.032152378
lives,0.820908612
care,-0.701769707
becomes,0.282137522
direction,0.060921713
example,-0.324221119
already,-0.265457514
based,0.143025768
drama,0.530173416
despite,0.229205986
seemed,-0.630416882
dark,0.545901826
throughout,0.361193875
unfortunately,-0.873144425
wanted,-0.553555517
i'd,-0.338440665
final,0.199751301
history,0.384186802
amazing,1.723226508
turn,-0.137031534
fine,0.396226761
laugh,-0.330927888
michael,0.299295001
son,0.322024661
humor,0.318071545
guess,-0.860956633
totally,-0.540260665
lead,-0.058666518
sound,-0.050959239
guys,-0.463308715
writing,-0.485402521
you'll,0.257805294
wants,0.134126127
low,-0.701228253
works,0.782710719
tries,-0.555246825
called,-0.225189397
under,0.060590083
past,0.305279284
viewer,0.232806182
quality,-0.15328314
child,0.151080131
days,0.276066089
behind,0.053809602
game,0.085207255
turns,0.131329518
they're,-0.502983149
enjoyed,0.87800329
today,1.02963907
able,0.223006399
act,-0.459384505
town,0.369038689
favorite,1.5178484
kill,-0.516498382
flick,-0.35190315
starts,-0.122952114
gave,-0.172525143
actress,0.135399064
sometimes,0.543136648
eyes,0.320850418
etc,-0.33404937
side,0.326900869
horrible,-2.145717859
girls,-0.275800609
genre,0.337766393
soon,0.379980072
won't,0.1164308
car,-0.331665112
brilliant,1.590077446
parts,0.05758181
art,0.324447373
heart,1.055975812
themselves,-0.038431042
expect,-0.003369738
kid,-0.407760072
stuff,-0.267620371
stories,0.432637728
thinking,-0.567700947
city,0.489226158
obviously,-0.562260059
directed,0.187477084
late,0.324222054
myself,-0.362617948
blood,-0.192841132
decent,-0.813328436
feeling,0.230124146
run,-0.183898535
s,-0.080716837
highly,1.205490707
god,-0.579364753
except,-0.69574931
close,0.158643895
fight,0.033305237
hand,0.028427825
anyway,-0.295418018
roles,0.692460119
daughter,0.176168444
killed,-0.577115787
moment,0.211129464
says,-0.047564061
heard,0.029324253
leave,-0.095779133
matter,0.077347481
took,-0.109194448
cannot,-0.283064687
police,0.028172268
happens,-0.376881019
brother,0.360936871
hour,-0.957911925
violence,0.223849919
happened,-0.433021338
strong,0.895024518
particularly,0.254020242
james,0.523707647
extremely,0.043608058
involved,-0.120154654
chance,0.320381118
writer,-0.315713352
obvious,-0.586582444
experience,0.743600258
wouldn't,-0.584482506
lack,-0.739237926
including,0.367511877
told,0.132904801
alone,-0.034824508
attempt,-1.097942123
murder,0.238434898
living,0.486933868
happen,-0.20977011
please,-1.12708505
age,0.463383287
wonder,-0.46783732
complete,-0.811703931
ago,0.311409048
voice,0.264056103
group,-0.005558169
score,0.628245096
david,0.486151714
coming,0.077559467
interest,-0.2950885
save,-1.208165811
none,-0.894988327
ok,-0.929011679
crap,-2.314457871
type,0.021367795
looked,-0.766796611
simple,0.699304883
slow,-0.370840731
possible,-0.2653848
number,0.107871704
seriously,-0.841912588
hell,-0.644038013
gore,-0.362499022
exactly,-0.063245051
shown,0.165396694
king,0.277583164
hero,-0.009150722
annoying,-1.372202097
song,0.494998358
husband,0.296307486
sad,-0.251218606
whose,0.265135842
career,0.19772448
yourself,-0.195447924
cinematography,0.611919592
taken,0.070360988
musical,0.573582437
ends,-0.165994368
usually,-0.161984008
serious,-0.023564536
i'll,-0.467416958
stop,-0.243524094
hours,-0.775216249
scary,-0.57381566
released,0.44007576
across,-0.022974424
hilarious,0.993189583
running,-0.379354157
reality,0.431909386
relationship,0.658154823
usual,0.336600661
ridiculous,-1.718885138
known,0.320451919
hit,0.015015681
opening,0.077612653
somewhat,0.238812558
started,-0.468640836
opinion,0.365132746
jokes,-0.76552336
novel,0.234062776
cool,-0.088015689
change,0.377861625
robert,0.610907957
wish,-0.107811353
ones,0.093816779
body,-0.081572312
finds,0.572784513
order,0.110562468
saying,-0.47810338
english,0.08152868
huge,-0.265597069
cut,-0.342787196
shots,-0.338071938
episodes,0.639357955
mostly,-0.054914974
taking,0.0631239
female,-0.29275392
talking,-0.359118835
strange,0.236301852
major,-0.027379864
view,0.447366429
power,0.571580157
happy,0.513608814
documentary,0.459708209
apparently,-1.113689234
rating,-0.424107852
disappointed,-0.563180745
level,-0.072703137
talent,-0.474480842
call,-0.450939629
country,0.420160382
jack,0.585105618
due,0.196177592
events,0.32495185
room,-0.125511932
important,0.578527179
songs,0.456682414
basically,-0.610983643
clearly,-0.237573959
knows,0.210967401
knew,-0.016630942
supporting,0.972938491
attention,0.474641908
television,0.368793886
future,0.458327457
turned,-0.33464068
paul,0.495366527
easily,0.307179057
problems,-0.017074212
aren't,-0.28309256
silly,-0.746965943
british,0.328060646
word,-0.276185195
tells,0.643878676
earth,-0.423647245
words,0.008235598
local,0.068742527
single,-0.459474815
light,0.347926569
four,0.071443448
cheap,-1.413631758
sequence,0.06052521
bring,0.277439014
entertainment,0.062744377
thriller,0.265928977
beyond,-0.419015422
george,0.291430062
miss,0.507694309
modern,0.54257383
whether,0.284708343
b,-0.340282434
predictable,-1.156098853
falls,-0.291716555
five,-0.336787096
sets,0.297999996
similar,0.312882096
review,-0.44780117
richard,0.5068967
needs,-0.17403601
upon,0.280107491
lady,0.042808217
enjoyable,0.737669651
appears,-0.247816347
romantic,0.55931516
comic,0.240018899
giving,-0.004044267
mystery,0.097106823
talk,-0.354690363
rock,0.090709231
message,0.163141919
animation,0.656323627
within,0.241598798
theater,-0.268681613
sequel,-0.293129106
bunch,-1.087022213
mention,-0.343693928
herself,0.2749014
feels,0.079670677
nearly,-0.094024684
points,-0.170656656
theme,0.462026294
lee,0.356098273
above,0.161145635
dull,-1.513400936
add,-0.247781813
york,0.46156621
ways,0.492137947
moving,0.87270695
storyline,-0.250576765
ten,-0.262683906
surprised,0.613510051
haven't,0.38577261
lots,-0.031753139
team,0.213908737
begins,0.658573031
middle,-0.205560264
using,-0.177037425
fantastic,1.620756492
actual,-0.388910942
sister,0.268000275
effort,-0.562628993
viewers,0.221138601
named,0.382804801
among,0.556848273
elements,0.27675874
easy,0.508823393
stay,-0.526938725
tom,0.323808662
comments,0.012252271
avoid,-1.91384963
showing,0.164433307
typical,0.098488464
release,0.483728204
clear,-0.079341172
hate,-0.303866767
tried,-1.034737295
peter,0.561625911
sorry,-1.369951118
french,0.279527578
dialog,-0.75073665
editing,-0.449971425
tale,0.794858248
certain,0.327473532
season,1.179346118
soundtrack,0.617625921
buy,0.042872066
fall,-0.038737738
general,0.097604543
near,-0.067920026
means,0.074890832
famous,0.56203534
check,0.032433261
parents,0.298155029
red,0.080885191
somehow,-0.494121082
material,-0.345397513
oscar,1.13129489
period,0.466804967
form,0.363124609
straight,-0.318621116
weak,-0.948936228
working,0.255566869
doubt,0.116061951
class,0.236263865
leads,0.311509443
filmed,0.098843315
gone,-0.232487237
kept,-0.278144138
greatest,1.454272552
figure,-0.207409998
viewing,0.630000517
feature,0.018253487
disney,0.441965535
eye,0.203299902
realistic,0.874269229
brought,0.635282239
imagine,-0.323322816
hear,-0.104212341
atmosphere,0.678719823
fast,-0.114148195
particular,0.340154507
suspense,0.020238045
lame,-2.017979734
move,-0.075992343
whatever,-0.628040152
sequences,0.091490574
america,0.247032702
follow,0.069020225
indeed,0.297496699
die,-0.350850426
crime,0.547230865
learn,0.152009048
eventually,0.297183245
reviews,-0.384040874
wait,-0.287001667
forget,0.304409045
deal,0.292586528
zombie,-0.684850356
dance,0.275705952
space,-0.372968095
okay,-0.86750844
premise,-0.848454556
surprise,0.306010567
believable,0.435346859
nature,0.719440359
possibly,-0.40963272
you've,-0.258506174
third,-0.005296545
decided,-0.675947047
subject,0.236660963
expected,-0.207555519
de,0.640704005
japanese,0.187065
dr,0.249520535
became,0.208986138
truth,0.395638159
imdb,-0.826447549
sexual,0.065117207
average,-0.290645842
stand,0.043022994
difficult,0.36900888
screenplay,-0.009547432
romance,0.579188613
t,-0.351060518
sit,-0.709241604
poorly,-2.15880471
rent,-0.917573169
joe,0.497746474
nor,-0.586220489
leaves,0.189365925
question,0.073410173
stage,0.451299695
note,0.141384832
begin,-0.411804526
killing,-0.435031343
needed,-0.282108225
reading,-0.183822744
unless,-1.373099583
baby,-0.016602663
superb,2.181915838
directors,-0.065121991
society,0.736895718
otherwise,-0.591671754
shame,-0.595524124
meet,0.291611727
street,0.086943356
situation,0.508354021
meets,0.453762116
memorable,0.932784434
dog,-0.338587439
credits,-0.29146837
earlier,0.125524112
forced,-0.484476462
weird,-0.296987163
minute,-0.565171462
older,0.467079482
laughs,-0.183732308
realize,0.10859554
emotional,0.89256155
jane,0.370254295
beauty,1.177538844
writers,-0.945721147
comment,-0.243036391
footage,-0.452445073
write,-0.843641379
ask,-0.347384018
badly,-1.733769703
interested,0.055584923
dramatic,0.302725496
sounds,-0.408512781
whom,0.285192247
hot,-0.150500054
keeps,0.769284415
features,0.226307749
directing,-0.127510357
mess,-1.930699519
development,-0.494700947
crazy,0.136352342
quickly,-0.260403601
male,-0.171637699
mark,0.018961769
towards,0.2208855
creepy,0.123606181
free,-0.354597199
monster,-0.433426069
perfectly,1.557725153
result,-0.219547889
total,-1.106119658
plus,0.006735006
previous,0.058333351
brings,1.074150939
unique,1.40806505
plenty,0.396821911
worked,-0.007465433
cheesy,-0.800981978
effect,0.090445115
personal,0.917456347
incredibly,-0.405894711
hands,0.017275386
bill,0.364799688
fantasy,0.270842415
return,0.427661355
dream,0.649539204
apart,-0.201999287
deep,0.442177972
setting,0.380837494
admit,-0.002550582
open,0.203841168
appear,-0.426436841
background,0.111278913
christmas,0.456562681
leading,0.23275719
doctor,0.024058781
casting,0.090253024
hardly,-0.65730216
meant,-0.341390186
ben,0.121621114
potential,-0.801824324
boys,0.212946047
powerful,1.538280949
business,0.343371589
masterpiece,1.345843074
fails,-1.438777195
battle,0.246857758
joke,-1.445110743
create,0.051085795
various,0.226714242
forward,-0.222433961
fire,-0.272338156
inside,0.354259431
outside,0.099784284
portrayed,0.377546921
girlfriend,-0.110550653
ideas,-0.389643282
twist,-0.11097132
william,0.609553009
missing,-0.101256002
nudity,-0.694915708
reasons,-0.07105728
villain,-0.004275696
dumb,-1.535358129
political,0.336315556
deserves,0.857845869
match,0.451317176
secret,0.110290163
expecting,-0.228590537
air,-0.001936501
fairly,-0.068769652
present,0.378197084
gay,-0.317385643
fighting,0.028641704
unlike,0.751834877
married,0.383746593
manages,0.449289834
break,-0.208103958
scott,0.428825571
success,0.423315004
attempts,-0.746940655
western,0.708351029
spoilers,-0.321410287
acted,0.094730834
remake,-0.582237102
pay,-0.477439687
box,-0.291681762
recently,0.585104611
rich,0.335317286
front,-0.205262447
cute,-0.100739904
further,-0.01414655
cop,-0.115358235
sadly,-0.855722028
era,0.814779038
copy,-0.000340251
agree,0.069027427
talented,0.010087239
telling,0.069687443
sci-fi,-0.015945955
filmmakers,-0.63408141
following,0.183025092
public,-0.062089133
crew,0.058335629
incredible,1.489492844
missed,0.061310353
wasted,-2.084665923
pure,0.411262942
plain,-1.307322251
brothers,0.454015503
odd,0.031584368
caught,0.476927282
flat,-1.248997843
social,0.577752065
mentioned,-0.140624356
pace,0.481365319
ended,-0.394770926
decides,0.084781109
considering,-0.207033689
waiting,-0.433152869
members,0.212452898
mary,0.360896445
large,0.007445031
list,-0.097162408
sweet,0.889955601
revenge,0.172936512
popular,0.251278633
uses,0.428368912
hold,0.04707653
slightly,0.205260949
office,0.138970539
compared,-0.032683791
neither,-0.789137456
wrote,-0.303286666
escape,0.196491979
sees,0.57140885
suddenly,-0.464573285
e,-0.0424835
party,-0.033652293
spirit,0.558918859
tension,0.171442558
convincing,0.315994419
created,0.489365029
fear,0.579582041
spent,-1.123042649
rate,-0.055689703
cause,-0.214232626
entirely,-0.183145594
island,-0.211829097
cartoon,-0.073748793
intelligent,0.388669993
credit,0.019278026
clever,0.156777225
we're,-0.543832631
choice,0.270826077
water,-0.448648436
kills,-0.679886766
bored,-1.096163415
familiar,0.517458064
moves,0.397469631
tony,0.816981573
laughing,-0.245421404
gun,-0.402567317
visual,0.489301848
successful,0.285354902
ultimately,0.120454988
basic,-0.366174019
band,0.356766373
trouble,-0.177483343
la,0.267576121
cat,-0.194541427
zombies,-0.9489522
concept,-0.491080964
value,-0.70433395
biggest,-0.488095037
positive,-0.85523103
singing,0.287725841
consider,-0.073964038
exciting,0.30318146
dancing,0.164420132
company,0.205668822
died,-0.107332767
recent,0.390091181
state,0.236495397
language,0.427224906
effective,0.767040964
science,-0.263804153
cover,-0.812439369
spend,-0.820588212
portrayal,0.938800893
violent,0.496308353
cold,0.251145619
appreciate,0.793574493
produced,-0.062159063
speak,-0.267803012
pointless,-2.037685368
former,0.341202822
studio,-0.226318015
amusing,-0.295089867
adult,0.398953256
common,0.092423751
filled,0.233777962
planet,-0.288143882
younger,0.478600749
books,-0.116986129
store,-0.249559362
walk,-0.563923997
follows,0.532041328
focus,0.17369543
solid,0.888442131
bizarre,-0.01436607
italian,0.192976519
impressive,0.585951228
animated,0.645754709
impossible,-0.245659805
german,0.414259405
amount,-0.053988527
tone,0.511480186
century,0.400628497
adventure,0.80610245
conclusion,-5.09E-05
producers,-1.135069128
weren't,-0.683984772
showed,0.234916921
recommended,1.286273968
fit,0.03885842
van,-0.253836137
depth,0.1044967
runs,-0.055576765
situations,0.290346095
chemistry,0.458545931
prison,0.548805199
project,-0.558428623
jim,0.438663373
respect,0.053040155
awesome,1.675264841
control,0.301747158
accent,-0.576998171
hair,-0.51454449
considered,0.089928904
win,0.588365327
won,0.827250976
smith,0.224950521
force,0.191588572
decide,-0.304827864
college,-0.200126342
trip,0.231138187
disturbing,0.446139877
somewhere,-0.563438752
mad,-0.233180703
failed,-1.124583798
dad,-0.052168075
changed,0.211336078
leaving,-0.129099768
questions,0.340048334
longer,0.073676559
steve,0.131531109
audiences,0.280158252
barely,-1.02269415
aside,-0.172130347
honest,0.151821918
slasher,-0.467011945
sick,-0.775090729
ghost,-0.16823342
shooting,-0.487778647
trash,-1.961263272
images,0.530086858
thanks,0.567181852
charming,1.041356801
starring,0.153473052
generally,-0.26549859
pathetic,-2.2615928
literally,-0.265975543
west,0.356640794
values,-0.054727082
culture,0.473025942
likes,0.18919474
fake,-1.156980267
surprisingly,0.6470153
touch,0.695980906
magic,0.420041566
involving,0.087821963
yeah,-1.005138711
alive,0.253933766
immediately,0.137053496
stewart,0.861509679
harry,0.438813635
south,0.239297042
frank,0.82723046
garbage,-2.666517488
natural,0.769489881
utterly,-1.141574695
camp,-0.209127675
bought,0.0958502
honestly,-0.827764888
adaptation,0.291856888
sam,0.625150235
london,0.434383896
aspect,0.177048864
pictures,0.300342819
ability,0.257150965
detective,0.458067806
nobody,-0.557253734
glad,0.471383124
explain,-0.574261008
fair,-0.348457504
computer,-0.459608196
appearance,0.113310737
genius,0.830921987
sitting,-0.74381434
cult,0.084689083
attack,-0.320115774
master,0.711129245
meaning,0.180248743
personally,0.420581987
stick,-0.869593615
normal,0.195199152
u,0.308925551
army,-0.010967066
appeal,-0.071245845
knowing,0.350169278
tough,0.394669078
remains,0.705539347
humour,0.351616687
military,-0.212105598
nowhere,-0.98472338
journey,1.298119472
added,0.1762436
charlie,0.526012021
rare,1.330470274
thinks,-0.315031924
thank,0.277034324
dreams,0.970438702
c,-0.154869193
purpose,-0.601707195
touching,1.839680953
unbelievable,-1.071320682
comedies,0.496661998
week,0.189986028
catch,0.343553471
taste,-0.326235132
terms,0.407625618
chase,-0.094817123
beautifully,1.91663185
channel,-0.545041571
walking,-0.718868817
sexy,0.227611721
batman,0.489966729
terrific,1.623275788
twists,0.500380942
silent,0.617031541
fiction,0.306866343
kelly,0.434120573
wow,-0.297452267
standard,-0.078187505
equally,0.384697859
naked,-0.874772194
mood,0.660025429
subtle,1.178012203
mistake,-0.78796048
managed,-0.316433976
complex,1.061532539
laughable,-2.157835615
pick,-0.143456638
themes,0.871203568
road,0.196291608
chris,0.346859394
lovely,0.80918807
narrative,0.224189965
wild,0.364553908
disappointing,-1.104994323
likely,0.056518941
brain,-0.749561607
costumes,0.030369128
thus,0.093043612
plan,-0.123210264
issues,0.497821317
excuse,-1.848706389
club,0.230558563
outstanding,1.939423233
soldiers,0.131835409
painful,-1.588032249
producer,-0.340593395
date,0.305322634
justice,0.575977219
surely,-0.193541771
constantly,-0.06724974
christopher,0.475671203
government,0.166372613
fully,0.578060991
self,0.002959593
edge,1.004707237
law,0.265777562
boss,0.463948849
presented,0.179016743
victim,-0.132676133
cinematic,0.200404221
contains,0.253191543
door,-0.122892416
places,0.417266276
central,0.347286432
details,0.547389542
innocent,0.471348091
presence,0.220123001
climax,0.051582306
everybody,0.137759078
slowly,0.456697677
marriage,0.656130402
besides,-0.164348315
pass,-0.625143803
ride,0.773128768
manner,0.220405574
charles,0.69192802
hoping,-1.034883749
animals,-0.12020164
historical,0.029585937
charm,0.330987343
stunning,1.490730784
finish,-0.195336923
vampire,-0.234632643
d,-0.524248348
photography,0.418615829
impression,-0.222836563
you'd,-0.686524293
henry,0.783903378
loves,0.755052404
gang,0.253191238
spoiler,-0.511945815
thrown,-0.558895569
mysterious,0.456694392
disappointment,-1.357804762
expectations,0.002742785
bottom,-0.927049151
hey,-0.71398974
shoot,-0.782919728
allen,0.352178507
exception,-0.201802032
paris,0.422623455
woods,-0.477610245
minor,0.578583465
makers,-1.034525666
soul,0.621269901
festival,0.871297204
critics,0.537313475
aspects,0.465583315
stands,0.709155161
loud,-0.343915618
indian,0.173290862
suppose,-0.951671294
scenery,0.131866066
train,0.00854555
bother,-1.55621614
cry,0.852754816
church,0.076870321
color,0.488389557
feelings,0.887678578
sent,0.330818853
heavy,0.102052734
support,0.403991097
emotion,0.366986649
bruce,0.424629044
opportunity,-0.045587691
award,0.746452569
hotel,0.274187703
brief,-0.00492224
element,0.187378147
filming,-0.172132119
mainly,0.172541563
ahead,0.01508312
fascinating,1.279814762
forever,0.292334675
blue,-0.006390618
rated,-0.338674951
acts,-0.077265749
pieces,0.053992395
emotions,1.258338689
available,0.696050154
intended,-0.400543218
twice,0.09566374
dies,-0.403409177
building,-0.104177062
names,-0.528704409
throw,-0.950767756
track,0.085707289
compelling,0.751673233
serial,-0.110825118
happening,-0.341884422
changes,0.365611129
drawn,0.215662816
hurt,0.108349981
don,0.388247069
puts,0.563090014
green,-0.100490234
falling,-0.214721672
student,-0.282125222
smart,0.203386257
jerry,0.277162551
likable,0.287363882
offer,-0.191467928
speaking,-0.321183177
tired,-0.643824758
suggest,-0.283719817
include,0.071110808
bed,-0.22109042
pain,0.200748625
difference,0.048106639
victims,-0.318508975
confused,-0.410331658
adults,0.459460533
lover,0.480614462
followed,-0.100074573
impact,0.628430609
f,-0.679845131
billy,0.498902177
arthur,0.197804059
approach,0.464958033
giant,-0.469164339
motion,0.069238155
hasn't,0.189545876
appeared,-0.302208395
boyfriend,-0.269028888
page,0.052464674
developed,-0.007315942
bar,0.090116018
image,0.422807354
park,-0.014116708
jones,0.156245119
gorgeous,0.93305835
actresses,0.244776062
confusing,-0.713167362
trailer,-0.682391115
laughed,-0.330471263
notice,-0.000266496
system,0.390442168
summer,0.568041403
share,0.680077693
lacks,-0.851274288
fresh,0.752943709
numbers,-0.083453605
alien,-0.504529095
fellow,0.40883287
event,0.087007689
grade,-0.692042485
supposedly,-1.220113416
flaws,0.509661461
martin,0.391756685
murders,-0.060404725
moral,0.254487802
zero,-1.83281235
content,-0.04203657
noir,1.041892403
million,-0.419525531
al,0.441919893
opera,0.083053644
mom,-0.102365728
gem,1.954958718
ii,0.207513862
relationships,0.80648017
tragedy,0.790117499
answer,-0.027761936
mediocre,-1.192287277
helps,1.120775642
funniest,1.171278419
drive,-0.236627359
merely,-0.393505291
lighting,-0.237739915
proves,0.682426694
wondering,-0.611032656
agent,-0.044366412
students,-0.05238547
born,0.629866187
random,-1.325144726
mix,0.282341335
ray,0.52187501
j,0.501849667
delivers,1.131503892
finding,0.39607366
hospital,-0.065373623
creative,0.184629334
christian,0.175848456
